epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.185,2.26614,1.792,1.07352,0.68778,0.68032,0.71507,0.26574,2.09205,6.54062,1.00666,0.000369968,0.000369968,0.000369968
2,526.871,2.23229,1.49784,1.04697,0.68185,0.64578,0.66109,0.23984,2.16748,3.95295,1.0022,0.000731141,0.000731141,0.000731141
3,781.567,2.19055,1.4801,1.03831,0.70704,0.56145,0.66401,0.26876,2.06552,1.64264,0.98233,0.00108315,0.00108315,0.00108315
4,1034.34,2.12039,1.42542,1.01473,0.80009,0.74741,0.78675,0.33249,nan,nan,nan,0.00106975,0.00106975,0.00106975
5,1286.25,2.10129,1.31399,1.01433,0.79975,0.72811,0.79788,0.34137,1.94638,1.474,0.95089,0.00105601,0.00105601,0.00105601
6,1538.1,2.05311,1.27629,1.00058,0.78581,0.72639,0.79677,0.34105,1.91572,1.4739,0.94256,0.00104226,0.00104226,0.00104226
7,1789.66,2.0249,1.21971,0.99479,0.83963,0.76115,0.81512,0.31248,2.02017,1.68398,0.95573,0.00102851,0.00102851,0.00102851
8,2041.53,2.02189,1.23948,0.99191,0.84736,0.74538,0.83199,0.35867,1.94013,1.39626,0.95681,0.00101476,0.00101476,0.00101476
9,2294.05,1.97999,1.16554,0.98518,0.8125,0.7506,0.82467,0.34337,1.96642,1.40908,0.94894,0.00100101,0.00100101,0.00100101
10,2545.79,1.97591,1.14831,0.9776,0.82878,0.78594,0.85479,0.38997,1.84073,1.35448,0.93161,0.000987262,0.000987262,0.000987262
11,2797.74,1.94375,1.13759,0.97064,0.84081,0.77638,0.85894,0.36582,1.92857,1.37024,0.94294,0.000973514,0.000973514,0.000973514
12,3049.51,1.9325,1.11641,0.96808,0.8331,0.77783,0.85754,0.38824,1.8329,1.27759,0.93082,0.000959765,0.000959765,0.000959765
13,3300.81,1.921,1.09374,0.9715,0.83345,0.77149,0.83753,0.33732,1.94483,1.4004,0.93712,0.000946016,0.000946016,0.000946016
14,3551.94,1.88971,1.07558,0.96981,0.84861,0.81493,0.86968,0.42753,1.73747,1.26868,0.91415,0.000932268,0.000932268,0.000932268
15,3803.82,1.8545,1.03708,0.95874,0.68123,0.64285,0.66898,0.18153,2.37541,1.58502,0.99722,0.000918519,0.000918519,0.000918519
16,4061.77,1.82185,1.0229,0.95552,0.86031,0.82362,0.88221,0.43096,1.73227,1.47217,0.91868,0.000904771,0.000904771,0.000904771
17,4314.95,1.79514,1.01395,0.95367,0.87806,0.7988,0.87449,0.45399,1.66167,1.40406,0.9065,0.000891022,0.000891022,0.000891022
18,4567.49,1.78852,0.99497,0.95051,0.84801,0.82905,0.87342,0.39331,1.81823,1.46828,0.92368,0.000877273,0.000877273,0.000877273
19,4822.77,1.75693,0.9805,0.94948,0.88254,0.82678,0.89418,0.45103,1.68104,1.0609,0.91059,0.000863525,0.000863525,0.000863525
20,5076.18,1.73439,0.95177,0.94459,0.88848,0.83133,0.89659,0.45078,1.68744,1.10431,0.91267,0.000849776,0.000849776,0.000849776
21,5329.3,1.7177,0.9351,0.93722,0.85968,0.7759,0.85072,0.30175,2.22676,1.2952,0.97021,0.000836027,0.000836027,0.000836027
22,5582.24,1.70622,0.94275,0.93523,0.88926,0.83976,0.90917,0.46581,1.66541,0.98472,0.90363,0.000822279,0.000822279,0.000822279
23,5835.17,1.67761,0.91463,0.93729,0.89611,0.83574,0.90723,0.46846,1.63695,1.09055,0.90434,0.00080853,0.00080853,0.00080853
24,6087.61,1.67855,0.89112,0.93232,0.88874,0.82123,0.90187,0.47984,1.66642,1.08589,0.90558,0.000794782,0.000794782,0.000794782
25,6339.77,1.68643,0.91878,0.93381,0.88242,0.83792,0.90479,0.46412,1.682,1.0917,0.90709,0.000781033,0.000781033,0.000781033
26,6591.55,1.6814,0.91618,0.93254,0.88426,0.84684,0.91254,0.47979,1.60883,1.08262,0.89576,0.000767284,0.000767284,0.000767284
27,6843.69,1.64891,0.88934,0.92873,0.89481,0.85181,0.91748,0.47498,1.63437,1.09537,0.89995,0.000753536,0.000753536,0.000753536
28,7095.62,1.64398,0.88359,0.92532,0.88538,0.84997,0.9071,0.48157,1.6538,1.04471,0.89854,0.000739787,0.000739787,0.000739787
29,7347.96,1.64172,0.86338,0.92614,0.8978,0.85181,0.91644,0.4898,1.60326,1.00444,0.89606,0.000726038,0.000726038,0.000726038
30,7600.42,1.62872,0.85231,0.92418,0.89708,0.8471,0.91371,0.47713,1.64691,1.04673,0.89869,0.00071229,0.00071229,0.00071229
